,Player,Year,Position,Age,Height,Weight,Draft Position,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP
Dylan McIlrath 2011,Dylan McIlrath,2011,D,18.448,77,232,10,,,,,
Dylan McIlrath 2012,Dylan McIlrath,2012,D,19.447,77,232,10,,,,,
Dylan McIlrath 2013,Dylan McIlrath,2013,D,20.45,77,232,10,,,,,
Dylan McIlrath 2014,Dylan McIlrath,2014,D,21.449,77,232,10,,,,,2.0
Dylan McIlrath 2015,Dylan McIlrath,2015,D,22.448,77,232,10,,,,2.0,1.0
Dylan McIlrath 2016,Dylan McIlrath,2016,D,23.448,77,232,10,,,2.0,1.0,34.0
Dylan McIlrath 2017,Dylan McIlrath,2017,D,24.45,77,232,10,,2.0,1.0,34.0,6.0
Dylan McIlrath 2018,Dylan McIlrath,2018,D,25.449,77,232,10,2.0,1.0,34.0,6.0,
Dylan McIlrath 2019,Dylan McIlrath,2019,D,26.448,77,232,10,1.0,34.0,6.0,,7.0
Dylan McIlrath 2020,Dylan McIlrath,2020,D,27.448,77,232,10,34.0,6.0,,7.0,16.0
Dylan McIlrath 2021,Dylan McIlrath,2021,D,28.45,77,232,10,6.0,,7.0,16.0,
Dylan McIlrath 2022,Dylan McIlrath,2022,D,29.449,77,232,10,,7.0,16.0,,
Dylan McIlrath 2023,Dylan McIlrath,2023,D,30.448,77,232,10,7.0,16.0,,,6.0
Jarred Tinordi 2008,Jarred Tinordi,2008,D,15.612,78,229,22,,,,,
Jarred Tinordi 2009,Jarred Tinordi,2009,D,16.614,78,229,22,,,,,
Jarred Tinordi 2010,Jarred Tinordi,2010,D,17.613,78,229,22,,,,,
Jarred Tinordi 2011,Jarred Tinordi,2011,D,18.612,78,229,22,,,,,
Jarred Tinordi 2012,Jarred Tinordi,2012,D,19.612,78,229,22,,,,,
Jarred Tinordi 2013,Jarred Tinordi,2013,D,20.614,78,229,22,,,,,8.0
Jarred Tinordi 2014,Jarred Tinordi,2014,D,21.613,78,229,22,,,,8.0,22.0
Jarred Tinordi 2015,Jarred Tinordi,2015,D,22.613,78,229,22,,,8.0,22.0,13.0
Jarred Tinordi 2016,Jarred Tinordi,2016,D,23.612,78,229,22,,8.0,22.0,13.0,10.0
Jarred Tinordi 2017,Jarred Tinordi,2017,D,24.614,78,229,22,8.0,22.0,13.0,10.0,
Jarred Tinordi 2018,Jarred Tinordi,2018,D,25.613,78,229,22,22.0,13.0,10.0,,
Jarred Tinordi 2019,Jarred Tinordi,2019,D,26.613,78,229,22,13.0,10.0,,,
Jarred Tinordi 2020,Jarred Tinordi,2020,D,27.612,78,229,22,10.0,,,,28.0
Jarred Tinordi 2021,Jarred Tinordi,2021,D,28.614,78,229,22,,,,28.0,21.0
Jarred Tinordi 2022,Jarred Tinordi,2022,D,29.613,78,229,22,,,28.0,21.0,7.0
Jarred Tinordi 2023,Jarred Tinordi,2023,D,30.613,78,229,22,,28.0,21.0,7.0,44.0
Mikael Granlund 2008,Mikael Granlund,2008,C,15.595,70,185,9,,,,,
Mikael Granlund 2009,Mikael Granlund,2009,C,16.597,70,185,9,,,,,
Mikael Granlund 2010,Mikael Granlund,2010,C,17.597,70,185,9,,,,,
Mikael Granlund 2011,Mikael Granlund,2011,C,18.596,70,185,9,,,,,
Mikael Granlund 2012,Mikael Granlund,2012,C,19.595,70,185,9,,,,,
Mikael Granlund 2013,Mikael Granlund,2013,C,20.597,70,185,9,,,,,27.0
Mikael Granlund 2014,Mikael Granlund,2014,C,21.597,70,185,9,,,,27.0,63.0
Mikael Granlund 2015,Mikael Granlund,2015,C,22.596,70,185,9,,,27.0,63.0,68.0
Mikael Granlund 2016,Mikael Granlund,2016,C,23.595,70,185,9,,27.0,63.0,68.0,82.0
Mikael Granlund 2017,Mikael Granlund,2017,C,24.598,70,185,9,27.0,63.0,68.0,82.0,81.0
Mikael Granlund 2018,Mikael Granlund,2018,C,25.597,70,185,9,63.0,68.0,82.0,81.0,77.0
Mikael Granlund 2019,Mikael Granlund,2019,C,26.596,70,185,9,68.0,82.0,81.0,77.0,79.0
Mikael Granlund 2020,Mikael Granlund,2020,C,27.596,70,185,9,82.0,81.0,77.0,79.0,63.0
Mikael Granlund 2021,Mikael Granlund,2021,C,28.598,70,185,9,81.0,77.0,79.0,63.0,50.0
Mikael Granlund 2022,Mikael Granlund,2022,C,29.597,70,185,9,77.0,79.0,63.0,50.0,80.0
Mikael Granlund 2023,Mikael Granlund,2023,C,30.596,70,185,9,79.0,63.0,50.0,80.0,79.0
Nino Niederreiter 2008,Nino Niederreiter,2008,R,15.061,74,218,5,,,,,
Nino Niederreiter 2009,Nino Niederreiter,2009,R,16.063,74,218,5,,,,,
Nino Niederreiter 2010,Nino Niederreiter,2010,R,17.063,74,218,5,,,,,
Nino Niederreiter 2011,Nino Niederreiter,2011,R,18.062,74,218,5,,,,,9.0
Nino Niederreiter 2012,Nino Niederreiter,2012,R,19.061,74,218,5,,,,9.0,55.0
Nino Niederreiter 2013,Nino Niederreiter,2013,R,20.064,74,218,5,,,9.0,55.0,
Nino Niederreiter 2014,Nino Niederreiter,2014,R,21.063,74,218,5,,9.0,55.0,,81.0
Nino Niederreiter 2015,Nino Niederreiter,2015,R,22.062,74,218,5,9.0,55.0,,81.0,80.0
Nino Niederreiter 2016,Nino Niederreiter,2016,R,23.062,74,218,5,55.0,,81.0,80.0,82.0
Nino Niederreiter 2017,Nino Niederreiter,2017,R,24.064,74,218,5,,81.0,80.0,82.0,82.0
Nino Niederreiter 2018,Nino Niederreiter,2018,R,25.063,74,218,5,81.0,80.0,82.0,82.0,63.0
Nino Niederreiter 2019,Nino Niederreiter,2019,R,26.062,74,218,5,80.0,82.0,82.0,63.0,82.0
Nino Niederreiter 2020,Nino Niederreiter,2020,R,27.062,74,218,5,82.0,82.0,63.0,82.0,67.0
Nino Niederreiter 2021,Nino Niederreiter,2021,R,28.064,74,218,5,82.0,63.0,82.0,67.0,56.0
Nino Niederreiter 2022,Nino Niederreiter,2022,R,29.063,74,218,5,63.0,82.0,67.0,56.0,75.0
Nino Niederreiter 2023,Nino Niederreiter,2023,R,30.062,74,218,5,82.0,67.0,56.0,75.0,78.0
Bryan Rust 2008,Bryan Rust,2008,R,15.39,71,192,80,,,,,
Bryan Rust 2009,Bryan Rust,2009,R,16.392,71,192,80,,,,,
Bryan Rust 2010,Bryan Rust,2010,R,17.391,71,192,80,,,,,
Bryan Rust 2011,Bryan Rust,2011,R,18.391,71,192,80,,,,,
Bryan Rust 2012,Bryan Rust,2012,R,19.39,71,192,80,,,,,
Bryan Rust 2013,Bryan Rust,2013,R,20.392,71,192,80,,,,,
Bryan Rust 2014,Bryan Rust,2014,R,21.391,71,192,80,,,,,
Bryan Rust 2015,Bryan Rust,2015,R,22.391,71,192,80,,,,,14.0
Bryan Rust 2016,Bryan Rust,2016,R,23.39,71,192,80,,,,14.0,41.0
Bryan Rust 2017,Bryan Rust,2017,R,24.392,71,192,80,,,14.0,41.0,57.0
Bryan Rust 2018,Bryan Rust,2018,R,25.392,71,192,80,,14.0,41.0,57.0,69.0
Bryan Rust 2019,Bryan Rust,2019,R,26.391,71,192,80,14.0,41.0,57.0,69.0,72.0
Bryan Rust 2020,Bryan Rust,2020,R,27.39,71,192,80,41.0,57.0,69.0,72.0,55.0
Bryan Rust 2021,Bryan Rust,2021,R,28.392,71,192,80,57.0,69.0,72.0,55.0,56.0
Bryan Rust 2022,Bryan Rust,2022,R,29.392,71,192,80,69.0,72.0,55.0,56.0,60.0
Bryan Rust 2023,Bryan Rust,2023,R,30.391,71,192,80,72.0,55.0,56.0,60.0,81.0
Jani Hakanpaa 2008,Jani Hakanpaa,2008,D,15.502,78,225,104,,,,,
Jani Hakanpaa 2009,Jani Hakanpaa,2009,D,16.504,78,225,104,,,,,
Jani Hakanpaa 2010,Jani Hakanpaa,2010,D,17.504,78,225,104,,,,,
Jani Hakanpaa 2011,Jani Hakanpaa,2011,D,18.503,78,225,104,,,,,
Jani Hakanpaa 2012,Jani Hakanpaa,2012,D,19.502,78,225,104,,,,,
Jani Hakanpaa 2013,Jani Hakanpaa,2013,D,20.504,78,225,104,,,,,
Jani Hakanpaa 2014,Jani Hakanpaa,2014,D,21.504,78,225,104,,,,,
Jani Hakanpaa 2015,Jani Hakanpaa,2015,D,22.503,78,225,104,,,,,
Jani Hakanpaa 2016,Jani Hakanpaa,2016,D,23.502,78,225,104,,,,,
Jani Hakanpaa 2017,Jani Hakanpaa,2017,D,24.504,78,225,104,,,,,
Jani Hakanpaa 2018,Jani Hakanpaa,2018,D,25.504,78,225,104,,,,,
Jani Hakanpaa 2019,Jani Hakanpaa,2019,D,26.503,78,225,104,,,,,
Jani Hakanpaa 2020,Jani Hakanpaa,2020,D,27.502,78,225,104,,,,,5.0
Jani Hakanpaa 2021,Jani Hakanpaa,2021,D,28.505,78,225,104,,,,5.0,57.0
Jani Hakanpaa 2022,Jani Hakanpaa,2022,D,29.504,78,225,104,,,5.0,57.0,80.0
Jani Hakanpaa 2023,Jani Hakanpaa,2023,D,30.503,78,225,104,,5.0,57.0,80.0,82.0
Sam Carrick 2008,Sam Carrick,2008,C,15.655,72,200,144,,,,,
Sam Carrick 2009,Sam Carrick,2009,C,16.658,72,200,144,,,,,
Sam Carrick 2010,Sam Carrick,2010,C,17.657,72,200,144,,,,,
Sam Carrick 2011,Sam Carrick,2011,C,18.656,72,200,144,,,,,
Sam Carrick 2012,Sam Carrick,2012,C,19.656,72,200,144,,,,,
Sam Carrick 2013,Sam Carrick,2013,C,20.658,72,200,144,,,,,
Sam Carrick 2014,Sam Carrick,2014,C,21.657,72,200,144,,,,,
Sam Carrick 2015,Sam Carrick,2015,C,22.656,72,200,144,,,,,16.0
Sam Carrick 2016,Sam Carrick,2016,C,23.656,72,200,144,,,,16.0,3.0
Sam Carrick 2017,Sam Carrick,2017,C,24.658,72,200,144,,,16.0,3.0,
Sam Carrick 2018,Sam Carrick,2018,C,25.657,72,200,144,,16.0,3.0,,
Sam Carrick 2019,Sam Carrick,2019,C,26.656,72,200,144,16.0,3.0,,,6.0
Sam Carrick 2020,Sam Carrick,2020,C,27.656,72,200,144,3.0,,,6.0,9.0
Sam Carrick 2021,Sam Carrick,2021,C,28.658,72,200,144,,,6.0,9.0,13.0
Sam Carrick 2022,Sam Carrick,2022,C,29.657,72,200,144,,6.0,9.0,13.0,64.0
Sam Carrick 2023,Sam Carrick,2023,C,30.657,72,200,144,6.0,9.0,13.0,64.0,52.0
Brendan Gallagher 2008,Brendan Gallagher,2008,R,15.404,69,186,147,,,,,
Brendan Gallagher 2009,Brendan Gallagher,2009,R,16.406,69,186,147,,,,,
Brendan Gallagher 2010,Brendan Gallagher,2010,R,17.405,69,186,147,,,,,
Brendan Gallagher 2011,Brendan Gallagher,2011,R,18.404,69,186,147,,,,,
Brendan Gallagher 2012,Brendan Gallagher,2012,R,19.404,69,186,147,,,,,
Brendan Gallagher 2013,Brendan Gallagher,2013,R,20.406,69,186,147,,,,,44.0
Brendan Gallagher 2014,Brendan Gallagher,2014,R,21.405,69,186,147,,,,44.0,81.0
Brendan Gallagher 2015,Brendan Gallagher,2015,R,22.404,69,186,147,,,44.0,81.0,82.0
Brendan Gallagher 2016,Brendan Gallagher,2016,R,23.404,69,186,147,,44.0,81.0,82.0,53.0
Brendan Gallagher 2017,Brendan Gallagher,2017,R,24.406,69,186,147,44.0,81.0,82.0,53.0,64.0
Brendan Gallagher 2018,Brendan Gallagher,2018,R,25.405,69,186,147,81.0,82.0,53.0,64.0,82.0
Brendan Gallagher 2019,Brendan Gallagher,2019,R,26.405,69,186,147,82.0,53.0,64.0,82.0,82.0
Brendan Gallagher 2020,Brendan Gallagher,2020,R,27.404,69,186,147,53.0,64.0,82.0,82.0,59.0
Brendan Gallagher 2021,Brendan Gallagher,2021,R,28.406,69,186,147,64.0,82.0,82.0,59.0,35.0
Brendan Gallagher 2022,Brendan Gallagher,2022,R,29.405,69,186,147,82.0,82.0,59.0,35.0,56.0
Brendan Gallagher 2023,Brendan Gallagher,2023,R,30.405,69,186,147,82.0,59.0,35.0,56.0,37.0
Jesper Fast 2008,Jesper Fast,2008,R,15.831,73,191,157,,,,,
Jesper Fast 2009,Jesper Fast,2009,R,16.833,73,191,157,,,,,
Jesper Fast 2010,Jesper Fast,2010,R,17.832,73,191,157,,,,,
Jesper Fast 2011,Jesper Fast,2011,R,18.831,73,191,157,,,,,
Jesper Fast 2012,Jesper Fast,2012,R,19.831,73,191,157,,,,,
Jesper Fast 2013,Jesper Fast,2013,R,20.833,73,191,157,,,,,
Jesper Fast 2014,Jesper Fast,2014,R,21.832,73,191,157,,,,,11.0
Jesper Fast 2015,Jesper Fast,2015,R,22.832,73,191,157,,,,11.0,58.0
Jesper Fast 2016,Jesper Fast,2016,R,23.831,73,191,157,,,11.0,58.0,79.0
Jesper Fast 2017,Jesper Fast,2017,R,24.833,73,191,157,,11.0,58.0,79.0,68.0
Jesper Fast 2018,Jesper Fast,2018,R,25.832,73,191,157,11.0,58.0,79.0,68.0,71.0
Jesper Fast 2019,Jesper Fast,2019,R,26.832,73,191,157,58.0,79.0,68.0,71.0,66.0
Jesper Fast 2020,Jesper Fast,2020,R,27.831,73,191,157,79.0,68.0,71.0,66.0,69.0
Jesper Fast 2021,Jesper Fast,2021,R,28.833,73,191,157,68.0,71.0,66.0,69.0,46.0
Jesper Fast 2022,Jesper Fast,2022,R,29.832,73,191,157,71.0,66.0,69.0,46.0,82.0
Jesper Fast 2023,Jesper Fast,2023,R,30.832,73,191,157,66.0,69.0,46.0,82.0,80.0
Kevin Gravel 2008,Kevin Gravel,2008,D,15.571,76,205,148,,,,,
Kevin Gravel 2009,Kevin Gravel,2009,D,16.573,76,205,148,,,,,
Kevin Gravel 2010,Kevin Gravel,2010,D,17.572,76,205,148,,,,,
Kevin Gravel 2011,Kevin Gravel,2011,D,18.571,76,205,148,,,,,
Kevin Gravel 2012,Kevin Gravel,2012,D,19.571,76,205,148,,,,,
Kevin Gravel 2013,Kevin Gravel,2013,D,20.573,76,205,148,,,,,
Kevin Gravel 2014,Kevin Gravel,2014,D,21.572,76,205,148,,,,,
Kevin Gravel 2015,Kevin Gravel,2015,D,22.571,76,205,148,,,,,
Kevin Gravel 2016,Kevin Gravel,2016,D,23.571,76,205,148,,,,,5.0
Kevin Gravel 2017,Kevin Gravel,2017,D,24.573,76,205,148,,,,5.0,49.0
Kevin Gravel 2018,Kevin Gravel,2018,D,25.572,76,205,148,,,5.0,49.0,16.0
Kevin Gravel 2019,Kevin Gravel,2019,D,26.572,76,205,148,,5.0,49.0,16.0,36.0
Kevin Gravel 2020,Kevin Gravel,2020,D,27.571,76,205,148,5.0,49.0,16.0,36.0,3.0
Kevin Gravel 2021,Kevin Gravel,2021,D,28.573,76,205,148,49.0,16.0,36.0,3.0,
Kevin Gravel 2022,Kevin Gravel,2022,D,29.572,76,205,148,16.0,36.0,3.0,,
Kevin Gravel 2023,Kevin Gravel,2023,D,30.572,76,205,148,36.0,3.0,,,23.0
John Klingberg 2008,John Klingberg,2008,D,15.13,75,190,131,,,,,
John Klingberg 2009,John Klingberg,2009,D,16.132,75,190,131,,,,,
John Klingberg 2010,John Klingberg,2010,D,17.131,75,190,131,,,,,
John Klingberg 2011,John Klingberg,2011,D,18.131,75,190,131,,,,,
John Klingberg 2012,John Klingberg,2012,D,19.13,75,190,131,,,,,
John Klingberg 2013,John Klingberg,2013,D,20.132,75,190,131,,,,,
John Klingberg 2014,John Klingberg,2014,D,21.131,75,190,131,,,,,
John Klingberg 2015,John Klingberg,2015,D,22.131,75,190,131,,,,,65.0
John Klingberg 2016,John Klingberg,2016,D,23.13,75,190,131,,,,65.0,76.0
John Klingberg 2017,John Klingberg,2017,D,24.132,75,190,131,,,65.0,76.0,80.0
John Klingberg 2018,John Klingberg,2018,D,25.131,75,190,131,,65.0,76.0,80.0,82.0
John Klingberg 2019,John Klingberg,2019,D,26.131,75,190,131,65.0,76.0,80.0,82.0,64.0
John Klingberg 2020,John Klingberg,2020,D,27.13,75,190,131,76.0,80.0,82.0,64.0,58.0
John Klingberg 2021,John Klingberg,2021,D,28.132,75,190,131,80.0,82.0,64.0,58.0,53.0
John Klingberg 2022,John Klingberg,2022,D,29.132,75,190,131,82.0,64.0,58.0,53.0,74.0
John Klingberg 2023,John Klingberg,2023,D,30.131,75,190,131,64.0,58.0,53.0,74.0,67.0
Mark Stone 2008,Mark Stone,2008,R,15.384,75,217,178,,,,,
Mark Stone 2009,Mark Stone,2009,R,16.386,75,217,178,,,,,
Mark Stone 2010,Mark Stone,2010,R,17.386,75,217,178,,,,,
Mark Stone 2011,Mark Stone,2011,R,18.385,75,217,178,,,,,
Mark Stone 2012,Mark Stone,2012,R,19.385,75,217,178,,,,,
Mark Stone 2013,Mark Stone,2013,R,20.387,75,217,178,,,,,4.0
Mark Stone 2014,Mark Stone,2014,R,21.386,75,217,178,,,,4.0,19.0
Mark Stone 2015,Mark Stone,2015,R,22.385,75,217,178,,,4.0,19.0,80.0
Mark Stone 2016,Mark Stone,2016,R,23.385,75,217,178,,4.0,19.0,80.0,75.0
Mark Stone 2017,Mark Stone,2017,R,24.387,75,217,178,4.0,19.0,80.0,75.0,71.0
Mark Stone 2018,Mark Stone,2018,R,25.386,75,217,178,19.0,80.0,75.0,71.0,58.0
Mark Stone 2019,Mark Stone,2019,R,26.385,75,217,178,80.0,75.0,71.0,58.0,77.0
Mark Stone 2020,Mark Stone,2020,R,27.385,75,217,178,75.0,71.0,58.0,77.0,65.0
Mark Stone 2021,Mark Stone,2021,R,28.387,75,217,178,71.0,58.0,77.0,65.0,55.0
Mark Stone 2022,Mark Stone,2022,R,29.386,75,217,178,58.0,77.0,65.0,55.0,37.0
Mark Stone 2023,Mark Stone,2023,R,30.385,75,217,178,77.0,65.0,55.0,37.0,43.0
Alex Belzile 2008,Alex Belzile,2008,R,16.085,72,196,-,,,,,
Alex Belzile 2009,Alex Belzile,2009,R,17.087,72,196,-,,,,,
Alex Belzile 2010,Alex Belzile,2010,R,18.087,72,196,-,,,,,
Alex Belzile 2011,Alex Belzile,2011,R,19.086,72,196,-,,,,,
Alex Belzile 2012,Alex Belzile,2012,R,20.085,72,196,-,,,,,
Alex Belzile 2013,Alex Belzile,2013,R,21.088,72,196,-,,,,,
Alex Belzile 2014,Alex Belzile,2014,R,22.087,72,196,-,,,,,
Alex Belzile 2015,Alex Belzile,2015,R,23.086,72,196,-,,,,,
Alex Belzile 2016,Alex Belzile,2016,R,24.086,72,196,-,,,,,
Alex Belzile 2017,Alex Belzile,2017,R,25.088,72,196,-,,,,,
Alex Belzile 2018,Alex Belzile,2018,R,26.087,72,196,-,,,,,
Alex Belzile 2019,Alex Belzile,2019,R,27.086,72,196,-,,,,,
Alex Belzile 2020,Alex Belzile,2020,R,28.086,72,196,-,,,,,
Alex Belzile 2021,Alex Belzile,2021,R,29.088,72,196,-,,,,,2.0
Alex Belzile 2022,Alex Belzile,2022,R,30.087,72,196,-,,,,2.0,11.0
Alex Belzile 2023,Alex Belzile,2023,R,31.086,72,196,-,,,2.0,11.0,31.0
Taylor Fedun 2008,Taylor Fedun,2008,D,19.324,73,200,-,,,,,
Taylor Fedun 2009,Taylor Fedun,2009,D,20.326,73,200,-,,,,,
Taylor Fedun 2010,Taylor Fedun,2010,D,21.326,73,200,-,,,,,
Taylor Fedun 2011,Taylor Fedun,2011,D,22.325,73,200,-,,,,,
Taylor Fedun 2012,Taylor Fedun,2012,D,23.324,73,200,-,,,,,
Taylor Fedun 2013,Taylor Fedun,2013,D,24.326,73,200,-,,,,,
Taylor Fedun 2014,Taylor Fedun,2014,D,25.326,73,200,-,,,,,4.0
Taylor Fedun 2015,Taylor Fedun,2015,D,26.325,73,200,-,,,,4.0,7.0
Taylor Fedun 2016,Taylor Fedun,2016,D,27.324,73,200,-,,,4.0,7.0,1.0
Taylor Fedun 2017,Taylor Fedun,2017,D,28.327,73,200,-,,4.0,7.0,1.0,27.0
Taylor Fedun 2018,Taylor Fedun,2018,D,29.326,73,200,-,4.0,7.0,1.0,27.0,7.0
Taylor Fedun 2019,Taylor Fedun,2019,D,30.325,73,200,-,7.0,1.0,27.0,7.0,54.0
Taylor Fedun 2020,Taylor Fedun,2020,D,31.325,73,200,-,1.0,27.0,7.0,54.0,27.0
Taylor Fedun 2021,Taylor Fedun,2021,D,32.327,73,200,-,27.0,7.0,54.0,27.0,
Taylor Fedun 2022,Taylor Fedun,2022,D,33.326,73,200,-,7.0,54.0,27.0,,
Taylor Fedun 2023,Taylor Fedun,2023,D,34.325,73,200,-,54.0,27.0,,,4.0
Colin Blackwell 2008,Colin Blackwell,2008,C,14.511,69,190,193,,,,,
Colin Blackwell 2009,Colin Blackwell,2009,C,15.513,69,190,193,,,,,
Colin Blackwell 2010,Colin Blackwell,2010,C,16.512,69,190,193,,,,,
Colin Blackwell 2011,Colin Blackwell,2011,C,17.512,69,190,193,,,,,
Colin Blackwell 2012,Colin Blackwell,2012,C,18.511,69,190,193,,,,,
Colin Blackwell 2013,Colin Blackwell,2013,C,19.513,69,190,193,,,,,
Colin Blackwell 2014,Colin Blackwell,2014,C,20.513,69,190,193,,,,,
Colin Blackwell 2015,Colin Blackwell,2015,C,21.512,69,190,193,,,,,
Colin Blackwell 2016,Colin Blackwell,2016,C,22.511,69,190,193,,,,,
Colin Blackwell 2017,Colin Blackwell,2017,C,23.513,69,190,193,,,,,
Colin Blackwell 2018,Colin Blackwell,2018,C,24.513,69,190,193,,,,,
Colin Blackwell 2019,Colin Blackwell,2019,C,25.512,69,190,193,,,,,6.0
Colin Blackwell 2020,Colin Blackwell,2020,C,26.511,69,190,193,,,,6.0,27.0
Colin Blackwell 2021,Colin Blackwell,2021,C,27.513,69,190,193,,,6.0,27.0,47.0
Colin Blackwell 2022,Colin Blackwell,2022,C,28.513,69,190,193,,6.0,27.0,47.0,58.0
Colin Blackwell 2023,Colin Blackwell,2023,C,29.512,69,190,193,6.0,27.0,47.0,58.0,53.0
Ondrej Palat 2008,Ondrej Palat,2008,L,16.512,72,194,208,,,,,
Ondrej Palat 2009,Ondrej Palat,2009,L,17.515,72,194,208,,,,,
Ondrej Palat 2010,Ondrej Palat,2010,L,18.514,72,194,208,,,,,
Ondrej Palat 2011,Ondrej Palat,2011,L,19.513,72,194,208,,,,,
Ondrej Palat 2012,Ondrej Palat,2012,L,20.513,72,194,208,,,,,
Ondrej Palat 2013,Ondrej Palat,2013,L,21.515,72,194,208,,,,,14.0
Ondrej Palat 2014,Ondrej Palat,2014,L,22.514,72,194,208,,,,14.0,81.0
Ondrej Palat 2015,Ondrej Palat,2015,L,23.513,72,194,208,,,14.0,81.0,75.0
Ondrej Palat 2016,Ondrej Palat,2016,L,24.513,72,194,208,,14.0,81.0,75.0,62.0
Ondrej Palat 2017,Ondrej Palat,2017,L,25.515,72,194,208,14.0,81.0,75.0,62.0,75.0
Ondrej Palat 2018,Ondrej Palat,2018,L,26.514,72,194,208,81.0,75.0,62.0,75.0,56.0
Ondrej Palat 2019,Ondrej Palat,2019,L,27.513,72,194,208,75.0,62.0,75.0,56.0,64.0
Ondrej Palat 2020,Ondrej Palat,2020,L,28.513,72,194,208,62.0,75.0,56.0,64.0,69.0
Ondrej Palat 2021,Ondrej Palat,2021,L,29.515,72,194,208,75.0,56.0,64.0,69.0,55.0
Ondrej Palat 2022,Ondrej Palat,2022,L,30.514,72,194,208,56.0,64.0,69.0,55.0,77.0
Ondrej Palat 2023,Ondrej Palat,2023,L,31.514,72,194,208,64.0,69.0,55.0,77.0,49.0
Lukas Sedlak 2008,Lukas Sedlak,2008,C,14.596,72,205,158,,,,,
Lukas Sedlak 2009,Lukas Sedlak,2009,C,15.598,72,205,158,,,,,
Lukas Sedlak 2010,Lukas Sedlak,2010,C,16.597,72,205,158,,,,,
Lukas Sedlak 2011,Lukas Sedlak,2011,C,17.597,72,205,158,,,,,
Lukas Sedlak 2012,Lukas Sedlak,2012,C,18.596,72,205,158,,,,,
Lukas Sedlak 2013,Lukas Sedlak,2013,C,19.598,72,205,158,,,,,
Lukas Sedlak 2014,Lukas Sedlak,2014,C,20.597,72,205,158,,,,,
Lukas Sedlak 2015,Lukas Sedlak,2015,C,21.597,72,205,158,,,,,
Lukas Sedlak 2016,Lukas Sedlak,2016,C,22.596,72,205,158,,,,,
Lukas Sedlak 2017,Lukas Sedlak,2017,C,23.598,72,205,158,,,,,62.0
Lukas Sedlak 2018,Lukas Sedlak,2018,C,24.598,72,205,158,,,,62.0,53.0
Lukas Sedlak 2019,Lukas Sedlak,2019,C,25.597,72,205,158,,,62.0,53.0,47.0
Lukas Sedlak 2020,Lukas Sedlak,2020,C,26.596,72,205,158,,62.0,53.0,47.0,
Lukas Sedlak 2021,Lukas Sedlak,2021,C,27.598,72,205,158,62.0,53.0,47.0,,
Lukas Sedlak 2022,Lukas Sedlak,2022,C,28.598,72,205,158,53.0,47.0,,,
Lukas Sedlak 2023,Lukas Sedlak,2023,C,29.597,72,205,158,47.0,,,,30.0
Josh Manson 2008,Josh Manson,2008,D,15.984,75,218,160,,,,,
Josh Manson 2009,Josh Manson,2009,D,16.986,75,218,160,,,,,
Josh Manson 2010,Josh Manson,2010,D,17.985,75,218,160,,,,,
Josh Manson 2011,Josh Manson,2011,D,18.985,75,218,160,,,,,
Josh Manson 2012,Josh Manson,2012,D,19.984,75,218,160,,,,,
Josh Manson 2013,Josh Manson,2013,D,20.986,75,218,160,,,,,
Josh Manson 2014,Josh Manson,2014,D,21.986,75,218,160,,,,,
Josh Manson 2015,Josh Manson,2015,D,22.985,75,218,160,,,,,28.0
Josh Manson 2016,Josh Manson,2016,D,23.984,75,218,160,,,,28.0,71.0
Josh Manson 2017,Josh Manson,2017,D,24.986,75,218,160,,,28.0,71.0,82.0
Josh Manson 2018,Josh Manson,2018,D,25.986,75,218,160,,28.0,71.0,82.0,80.0
Josh Manson 2019,Josh Manson,2019,D,26.985,75,218,160,28.0,71.0,82.0,80.0,74.0
Josh Manson 2020,Josh Manson,2020,D,27.984,75,218,160,71.0,82.0,80.0,74.0,50.0
Josh Manson 2021,Josh Manson,2021,D,28.986,75,218,160,82.0,80.0,74.0,50.0,23.0
Josh Manson 2022,Josh Manson,2022,D,29.986,75,218,160,80.0,74.0,50.0,23.0,67.0
Josh Manson 2023,Josh Manson,2023,D,30.985,75,218,160,74.0,50.0,23.0,67.0,27.0
Josh Archibald 2008,Josh Archibald,2008,R,14.985,70,176,174,,,,,
Josh Archibald 2009,Josh Archibald,2009,R,15.987,70,176,174,,,,,
Josh Archibald 2010,Josh Archibald,2010,R,16.986,70,176,174,,,,,
Josh Archibald 2011,Josh Archibald,2011,R,17.985,70,176,174,,,,,
Josh Archibald 2012,Josh Archibald,2012,R,18.985,70,176,174,,,,,
Josh Archibald 2013,Josh Archibald,2013,R,19.987,70,176,174,,,,,
Josh Archibald 2014,Josh Archibald,2014,R,20.986,70,176,174,,,,,
Josh Archibald 2015,Josh Archibald,2015,R,21.986,70,176,174,,,,,
Josh Archibald 2016,Josh Archibald,2016,R,22.985,70,176,174,,,,,1.0
Josh Archibald 2017,Josh Archibald,2017,R,23.987,70,176,174,,,,1.0,10.0
Josh Archibald 2018,Josh Archibald,2018,R,24.986,70,176,174,,,1.0,10.0,42.0
Josh Archibald 2019,Josh Archibald,2019,R,25.986,70,176,174,,1.0,10.0,42.0,68.0
Josh Archibald 2020,Josh Archibald,2020,R,26.985,70,176,174,1.0,10.0,42.0,68.0,62.0
Josh Archibald 2021,Josh Archibald,2021,R,27.987,70,176,174,10.0,42.0,68.0,62.0,52.0
